rank,weeks_hindex,peak_hindex,integrated_hindex,total_songs,artist
1,22,84,20.60,245,"Taylor Swift"
2,20,68,16.79,155,"Drake"
3,20,51,18.57,86,"Morgan Wallen"
4,20,36,12.08,48,"Tim McGraw"
5,20,37,12.31,47,"Kenny Chesney"
6,20,27,18.13,33,"Mariah Carey"
7,19,48,16.56,53,"Madonna"
8,19,32,10.85,39,"Jason Aldean"
9,19,35,10.28,38,"Keith Urban"
10,19,29,11.24,35,"Luke Bryan"
11,19,30,12.22,34,"Luke Combs"
12,19,30,10.23,33,"Brad Paisley"
13,19,27,16.12,32,"Whitney Houston"
14,19,24,16.10,28,"P!nk"
15,18,44,14.10,64,"Beyonce"
16,18,41,14.01,47,"Rod Stewart"
17,18,32,10.36,36,"Rascal Flatts"
18,18,30,9.19,35,"George Strait"
19,18,30,11.67,34,"Carrie Underwood"
20,18,29,10.34,33,"Blake Shelton"
21,18,25,15.61,29,"Rihanna"
22,17,52,14.19,58,"Elton John"
23,17,37,14.82,41,"Michael Jackson"
24,17,28,11.38,35,"Toby Keith"
25,17,24,11.77,34,"Chris Brown"
26,17,25,8.62,26,"Dierks Bentley"
27,17,24,15.17,24,"Janet Jackson"
28,17,20,14.27,23,"Maroon 5"
29,16,41,12.88,62,"The Weeknd"
30,16,44,13.01,54,"Stevie Wonder"
31,16,39,13.02,46,"Chicago"
32,16,36,12.96,42,"Billy Joel"
33,16,31,14.66,34,"Daryl Hall John Oates"
34,16,26,12.23,32,"Kool & The Gang"
35,16,24,13.70,28,"Britney Spears"
36,16,23,13.04,25,"Bon Jovi"
37,16,23,11.44,25,"Mary J. Blige"
38,16,21,14.71,25,"Kelly Clarkson"
39,16,22,13.46,24,"Phil Collins"
40,16,20,13.09,23,"R. Kelly"
41,16,21,13.00,21,"Usher"
42,16,19,8.75,20,"Thomas Rhett"
43,16,18,13.07,19,"Lionel Richie"
44,15,39,13.16,60,"Bad Bunny"
45,15,43,14.22,57,"Ariana Grande"
46,15,26,12.26,29,"Heart"
47,15,23,10.48,29,"U2"
48,15,25,12.63,28,"Aerosmith"
49,15,26,11.55,27,"Barry Manilow"
50,15,19,7.07,25,"Eric Church"
51,15,22,9.12,24,"Alan Jackson"
52,15,20,12.96,21,"Bryan Adams"
53,15,18,8.76,21,"Miranda Lambert"
54,15,17,8.67,20,"Zac Brown Band"
55,15,16,10.46,19,"Nickelback"
56,15,18,8.60,19,"Lady Antebellum"
57,15,18,7.31,18,"Montgomery Gentry"
58,15,15,8.21,16,"Billy Currington"
59,14,42,11.31,52,"Neil Diamond"
60,14,38,12.91,49,"Eminem"
61,14,36,12.30,43,"Bee Gees"
62,14,27,10.46,33,"Cher"
63,14,30,10.87,33,"Diana Ross"
64,14,24,11.69,33,"Ed Sheeran"
65,14,27,11.79,31,"Olivia Newton-John"
66,14,25,12.22,30,"Donna Summer"
67,14,23,10.59,26,"The Pointer Sisters"
68,14,22,11.28,25,"Fleetwood Mac"
69,14,23,10.59,25,"Journey"
70,14,22,10.49,24,"Electric Light Orchestra"
71,14,22,12.51,23,"Katy Perry"
72,14,22,12.01,22,"Genesis"
73,14,21,10.90,22,"Foreigner"
74,14,19,9.15,22,"Linkin Park"
75,14,21,11.03,21,"Eagles"
76,14,21,11.68,21,"Huey Lewis & The News"
77,14,18,10.13,19,"Def Leppard"
78,14,17,12.20,18,"Michael Bolton"
79,14,16,12.51,16,"Richard Marx"
80,14,14,13.62,15,"The Black Eyed Peas"
81,13,38,12.34,62,"Justin Bieber"
82,13,49,11.05,57,"The Rolling Stones"
83,13,41,10.23,54,"The Beach Boys"
84,13,43,10.20,50,"Elvis Presley"
85,13,30,11.49,37,"Lady Gaga"
86,13,28,11.33,34,"Nicki Minaj"
87,13,28,10.19,30,"Earth, Wind & Fire"
88,13,22,11.30,29,"Miley Cyrus"
89,13,25,10.48,27,"Carpenters"
90,13,24,10.93,27,"Prince"
91,13,23,12.16,26,"Bruce Springsteen"
92,13,23,10.81,25,"Commodores"
93,13,20,9.74,23,"Styx"
94,13,20,10.14,23,"Van Halen"
95,13,20,6.92,23,"Brooks & Dunn"
96,13,20,11.48,21,"Duran Duran"
97,13,19,9.69,20,"Rick Springfield"
98,13,18,9.96,20,"Kenny Loggins"
99,13,18,10.05,19,"John Mellencamp"
100,13,19,9.48,19,"Gloria Estefan"
101,13,17,9.08,18,"REO Speedwagon"
102,13,18,11.04,18,"Justin Timberlake"
103,13,15,11.17,17,"Celine Dion"
104,13,17,8.80,17,"Dixie Chicks"
