,ranking,artist,title,last_week_rank,peak_position,weeks_on_chart,chart_date
2000-01-01_1,1,Savage Garden,I Knew I Loved You,1,1,12,2000-01-01
2000-01-01_2,2,Celine Dion,That's The Way It Is,2,1,10,2000-01-01
2000-01-01_3,3,Backstreet Boys,I Want It That Way,3,1,34,2000-01-01
2000-01-01_4,4,*NSYNC & Gloria Estefan,Music Of My Heart,4,2,20,2000-01-01
2000-01-01_5,5,Edwin McCain,I Could Not Ask For More,7,3,28,2000-01-01
2000-01-01_6,6,98 Degrees,I Do (Cherish You),8,5,18,2000-01-01
2000-01-01_7,7,Lonestar,Amazed,6,6,16,2000-01-01
2000-01-01_8,8,Ricky Martin,She's All I Ever Had,5,4,22,2000-01-01
2000-01-01_9,9,Phil Collins,You'll Be In My Heart,9,1,37,2000-01-01
2000-01-01_10,10,Kenny G,Auld Lang Syne,12,10,3,2000-01-01
2000-01-01_11,11,Phil Collins,Strangers Like Me,10,10,6,2000-01-01
2000-01-01_12,12,98 Degrees,The Hardest Thing,11,4,35,2000-01-01
2000-01-01_13,13,Sarah McLachlan,I Will Remember You,13,3,61,2000-01-01
2000-01-01_14,14,Sarah McLachlan,Angel,15,1,59,2000-01-01
2000-01-01_15,15,Sixpence None the Richer,Kiss Me,14,2,41,2000-01-01
2000-01-01_16,16,Savage Garden,Truly Madly Deeply,16,1,103,2000-01-01
2000-01-01_17,17,Cher,Believe,20,3,45,2000-01-01
2000-01-01_18,18,Shania Twain,Man! I Feel Like A Woman!,17,16,14,2000-01-01
2000-01-01_19,19,Santana Featuring Rob Thomas,Smooth,21,19,9,2000-01-01
2000-01-01_20,20,*NSYNC,(God Must Have Spent) A Little More Time On You,18,2,53,2000-01-01
2000-01-01_21,21,Jim Brickman Featuring Michelle Wright,Your Love,22,21,6,2000-01-01
2000-01-01_22,22,Eric Clapton,Blue Eyes Blue,23,4,20,2000-01-01
2000-01-01_23,23,Mariah Carey,All I Want For Christmas Is You,0,6,8,2000-01-01
2000-01-01_24,24,Britney Spears,Sometimes,24,11,26,2000-01-01
2000-01-01_25,25,Robbie Williams,Angels,29,25,2,2000-01-01
2000-01-01_26,26,Sixpence None the Richer,There She Goes,25,25,7,2000-01-01
2000-01-01_27,27,98 Degrees,This Gift,0,27,1,2000-01-01
2000-01-01_28,28,Brian McKnight,Back At One,0,28,1,2000-01-01
2000-01-01_29,29,Marc Anthony,I Need To Know,28,24,14,2000-01-01
2000-01-01_30,30,Jessica Simpson,I Wanna Love You Forever,30,30,3,2000-01-01
2000-01-08_1,1,Savage Garden,I Knew I Loved You,1,1,13,2000-01-08
2000-01-08_2,2,Celine Dion,That's The Way It Is,2,1,11,2000-01-08
2000-01-08_3,3,Kenny G,Auld Lang Syne,10,3,4,2000-01-08
2000-01-08_4,4,Backstreet Boys,I Want It That Way,3,1,35,2000-01-08
2000-01-08_5,5,*NSYNC & Gloria Estefan,Music Of My Heart,4,2,21,2000-01-08
