,ranking,artist,title,last_week_rank,peak_position,weeks_on_chart,chart_date
2026-04-11_1,1,Noah Kahan,The Great Divide,1,1,9,2026-04-11
2026-04-11_2,2,Wet Leg,mangetout,2,2,27,2026-04-11
2026-04-11_3,3,Turnstile,Look Out For Me,3,2,18,2026-04-11
2026-04-11_4,4,Edgehill,Doubletake,4,4,26,2026-04-11
2026-04-11_5,5,Twenty One Pilots,Drag Path,5,5,6,2026-04-11
2026-04-11_6,6,Yellowcard Featuring Good Charlotte,Bedroom Posters,6,6,11,2026-04-11
2026-04-11_7,7,The Neighbourhood,Hula Girl,7,7,19,2026-04-11
2026-04-11_8,8,Foo Fighters,Your Favorite Toy,9,8,6,2026-04-11
2026-04-11_9,9,Young the Giant,Different Kind Of Love,11,9,8,2026-04-11
2026-04-11_10,10,Royel Otis,Who's Your Boyfriend,12,10,19,2026-04-11
2026-04-11_11,11,Weezer,Go Away,13,11,4,2026-04-11
2026-04-11_12,12,Silversun Pickups,The Wreckage,8,8,20,2026-04-11
2026-04-11_13,13,Sublime,Ensenada,10,1,37,2026-04-11
2026-04-11_14,14,Muse,Be With You,17,14,2,2026-04-11
2026-04-11_15,15,In Color,Headlights,15,15,10,2026-04-11
2026-04-11_16,16,Death Cab for Cutie,Riptides,20,16,3,2026-04-11
2026-04-11_17,17,Three Days Grace,Kill Me Fast,16,16,12,2026-04-11
2026-04-11_18,18,Sublime,Until The Sun Explodes,0,18,1,2026-04-11
2026-04-11_19,19,Cannons,Starlight,19,18,9,2026-04-11
2026-04-11_20,20,Dirty Heads,One Of Those Days,22,20,3,2026-04-11
2026-04-11_21,21,Bleachers,You And Forever,21,21,7,2026-04-11
2026-04-11_22,22,Papa Roach,Wake Up Calling,23,22,8,2026-04-11
2026-04-11_23,23,The All-American Rejects,Get This,26,23,10,2026-04-11
2026-04-11_24,24,Bad Omens,Dying To Love,24,24,4,2026-04-11
2026-04-11_25,25,The Last Dinner Party,Count The Ways,25,25,5,2026-04-11
2026-04-11_26,26,sombr,Homewrecker,30,26,2,2026-04-11
2026-04-11_27,27,Jutes,It Takes Two,31,27,9,2026-04-11
2026-04-11_28,28,Brigitte Calls Me Baby,Slumber Party,29,28,6,2026-04-11
2026-04-11_29,29,The Ramona Flowers,That Summer,28,26,6,2026-04-11
2026-04-11_30,30,Social Distortion,Born To Kill,33,30,3,2026-04-11
2026-04-11_31,31,Violet Grohl,THUM,34,31,2,2026-04-11
2026-04-11_32,32,The Temper Trap,Giving Up Air,36,32,8,2026-04-11
2026-04-11_33,33,beabadoobee Featuring The Marias,All I Did Was Dream of You,0,33,1,2026-04-11
2026-04-11_34,34,The Black Keys,You Got To Lose,38,34,5,2026-04-11
2026-04-11_35,35,Sleep Theory,Words Are Worthless,40,35,3,2026-04-11
2026-04-11_36,36,Jonah Kagen,The Roads,32,24,16,2026-04-11
2026-04-11_37,37,Julia Wolf,In My Room,0,37,2,2026-04-11
2026-04-11_38,38,Geese,Cobra,27,21,17,2026-04-11
2026-04-11_39,39,ivri,Tower Of Memories,35,31,9,2026-04-11
2026-04-11_40,40,Arctic Monkeys,Opening Night,39,31,9,2026-04-11
